net,length_um
_111_,103.84µm
_123_,87.46µm
_115_,84.325µm
net29,78.97µm
_057_,78.8µm
net31,77.885µm
_118_,68.565µm
_110_,66.9µm
_120_,63.525µm
net5,57.48µm
net33,54.955µm
_117_,53.905µm
net6,53.48µm
net1,49.18µm
net32,47.75µm
net12,47.62µm
net4,46.78µm
_000_,46.34µm
_077_,44.68µm
net34,43.255µm
net2,42.14µm
_095_,41.44µm
_088_,40.76µm
net19,39.365µm
net3,39µm
net9,38.015µm
_068_,37.44µm
_099_,36.76µm
_001_,35.75µm
_080_,34.22µm
_066_,32.66µm
net7,31.26µm
net8,30.36µm
_063_,26.9µm
_022_,25.84µm
_091_,25.66µm
_065_,24.66µm
_108_,24.14µm
_092_,22.52µm
net13,21.84µm
_103_,21.38µm
_102_,21.2µm
_037_,20.68µm
_060_,19.98µm
_086_,18.56µm
_025_,18.38µm
_122_,17.5µm
_079_,17.2µm
_112_,17.2µm
Y[7],17.11µm
B[6],16.87µm
_084_,16.68µm
net17,16.56µm
A[6],15.95µm
_071_,15.62µm
_106_,15.5µm
net25,15.4µm
A[0],15.21µm
_058_,15.18µm
OP[0],14.67µm
net30,14.53µm
A[1],14.16µm
Y[6],14.01µm
net18,13.58µm
_073_,13.56µm
_101_,12.5µm
A[2],12.32µm
B[1],12.32µm
B[2],12.32µm
_059_,12.08µm
net16,12.04µm
OP[2],11.89µm
net11,11.82µm
Y[2],11.64µm
CARRY,11.63µm
B[7],11.61µm
net10,11.24µm
B[0],11.21µm
OP[1],10.93µm
_082_,10.54µm
B[4],10.45µm
_097_,10.32µm
_100_,10.05µm
net14,9.7µm
_020_,9.54µm
_051_,9.32µm
_067_,9.32µm
A[4],9.19µm
B[5],9.09µm
_085_,8.88µm
_076_,8.6µm
_078_,8.52µm
_083_,8.4µm
_070_,8.34µm
Y[3],8.07µm
Y[4],8.07µm
Y[5],8.07µm
_064_,8µm
net21,7.98µm
A[3],7.83µm
A[5],7.83µm
B[3],7.83µm
_094_,7.76µm
_019_,7.68µm
_012_,7.56µm
A[7],7.53µm
Y[0],7.53µm
net27,7.18µm
_062_,7.18µm
_072_,7.18µm
_011_,7.1µm
net15,7.06µm
Y[1],6.85µm
_096_,6.84µm
_105_,6.6µm
_087_,6.48µm
_089_,6.36µm
_015_,6.24µm
net20,6.14µm
net23,6.14µm
_074_,6.14µm
_054_,6.06µm
_027_,5.94µm
_043_,5.92µm
_014_,5.9µm
_061_,5.82µm
net24,5.74µm
_003_,5.72µm
_075_,5.7µm
_038_,5.48µm
net26,5.4µm
_042_,5.4µm
_002_,5.22µm
_107_,5.22µm
net22,5.06µm
_090_,5µm
_116_,4.44µm
_119_,4.42µm
_031_,4.34µm
_039_,4.34µm
_006_,4.1µm
_053_,4.08µm
_013_,4.02µm
_047_,4.02µm
_081_,4.02µm
_008_,4µm
_029_,4µm
_040_,4µm
_109_,3.98µm
_114_,3.88µm
_023_,3.68µm
_049_,3.68µm
_036_,3.54µm
_028_,3.42µm
_034_,3.3µm
_007_,3.22µm
_016_,3.18µm
_033_,3.18µm
_056_,3.18µm
_046_,3.08µm
_055_,3.08µm
_018_,2.98µm
_010_,2.96µm
_069_,2.96µm
_104_,2.96µm
net28,2.74µm
_017_,2.715µm
_004_,2.62µm
_024_,2.62µm
_098_,2.62µm
_121_,2.62µm
_052_,2.52µm
_041_,2.5µm
_045_,2.5µm
_093_,2.5µm
_032_,2.18µm
_044_,2.18µm
_050_,2.16µm
_113_,2.16µm
_005_,1.84µm
_009_,1.7µm
_030_,1.7µm
_035_,1.7µm
_026_,1.48µm
_048_,1.26µm
_021_,1.02µm
