Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_113,VGND,li1,57.7300,59.8400,0.000027
FILLER_18_109,VGND,li1,56.3500,59.8400,0.000027
FILLER_18_106,VGND,li1,54.9700,59.8400,0.000027
FILLER_18_103,VGND,li1,53.5900,59.8400,0.000027
FILLER_18_100,VGND,li1,52.2100,59.8400,0.000027
FILLER_18_97,VGND,li1,50.8300,59.8400,0.000027
FILLER_18_94,VGND,li1,49.4500,59.8400,0.000027
FILLER_18_91,VGND,li1,48.0700,59.8400,0.000027
FILLER_18_88,VGND,li1,46.6900,59.8400,0.000027
FILLER_18_85,VGND,li1,45.3100,59.8400,0.000027
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000027
FILLER_18_74,VGND,li1,39.7900,59.8400,0.000025
FILLER_18_71,VGND,li1,38.8700,59.8400,0.000024
FILLER_18_68,VGND,li1,37.4900,59.8400,0.000024
FILLER_18_65,VGND,li1,36.1100,59.8400,0.000023
FILLER_18_46,VGND,li1,27.1400,59.8400,0.000017
FILLER_18_43,VGND,li1,25.9900,59.8400,0.000015
FILLER_18_40,VGND,li1,24.6100,59.8400,0.000015
FILLER_18_37,VGND,li1,23.2300,59.8400,0.000017
FILLER_18_32,VGND,li1,20.4700,59.8400,0.000018
FILLER_18_29,VGND,li1,19.5500,59.8400,0.000018
FILLER_18_27,VGND,li1,18.1700,59.8400,0.000018
FILLER_18_24,VGND,li1,17.2500,59.8400,0.000018
FILLER_18_21,VGND,li1,15.8700,59.8400,0.000019
FILLER_18_18,VGND,li1,14.4900,59.8400,0.000019
FILLER_18_15,VGND,li1,13.1100,59.8400,0.000019
FILLER_18_12,VGND,li1,11.7300,59.8400,0.000019
FILLER_18_9,VGND,li1,10.3500,59.8400,0.000020
FILLER_18_6,VGND,li1,8.9700,59.8400,0.000020
FILLER_18_3,VGND,li1,7.5900,59.8400,0.000020
FILLER_17_113,VGND,li1,57.7300,59.8400,0.000027
FILLER_17_109,VGND,li1,56.3500,59.8400,0.000027
FILLER_17_106,VGND,li1,54.9700,59.8400,0.000027
FILLER_17_100,VGND,li1,52.2100,59.8400,0.000027
FILLER_17_97,VGND,li1,50.8300,59.8400,0.000027
FILLER_17_94,VGND,li1,49.4500,59.8400,0.000027
FILLER_17_88,VGND,li1,46.2300,59.8400,0.000027
FILLER_17_73,VGND,li1,39.5600,59.8400,0.000025
