Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_113,VPWR,li1,57.7300,62.5600,1.799983
FILLER_18_109,VPWR,li1,56.3500,62.5600,1.799983
FILLER_18_106,VPWR,li1,54.9700,62.5600,1.799983
FILLER_18_103,VPWR,li1,53.5900,62.5600,1.799983
FILLER_18_100,VPWR,li1,52.2100,62.5600,1.799983
FILLER_18_97,VPWR,li1,50.8300,62.5600,1.799983
FILLER_18_94,VPWR,li1,49.4500,62.5600,1.799983
FILLER_18_91,VPWR,li1,48.0700,62.5600,1.799983
FILLER_18_88,VPWR,li1,46.6900,62.5600,1.799983
FILLER_18_85,VPWR,li1,45.3100,62.5600,1.799983
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799983
FILLER_18_74,VPWR,li1,39.7900,62.5600,1.799984
FILLER_18_71,VPWR,li1,38.8700,62.5600,1.799984
FILLER_18_68,VPWR,li1,37.4900,62.5600,1.799985
FILLER_18_65,VPWR,li1,36.1100,62.5600,1.799985
FILLER_18_46,VPWR,li1,27.1400,62.5600,1.799989
FILLER_18_43,VPWR,li1,25.9900,62.5600,1.799990
FILLER_18_40,VPWR,li1,24.6100,62.5600,1.799990
FILLER_18_37,VPWR,li1,23.2300,62.5600,1.799992
FILLER_18_32,VPWR,li1,20.4700,62.5600,1.799992
FILLER_18_29,VPWR,li1,19.5500,62.5600,1.799992
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799992
FILLER_18_24,VPWR,li1,17.2500,62.5600,1.799992
FILLER_18_21,VPWR,li1,15.8700,62.5600,1.799992
FILLER_18_18,VPWR,li1,14.4900,62.5600,1.799992
FILLER_18_15,VPWR,li1,13.1100,62.5600,1.799992
FILLER_18_12,VPWR,li1,11.7300,62.5600,1.799992
FILLER_18_9,VPWR,li1,10.3500,62.5600,1.799992
FILLER_18_6,VPWR,li1,8.9700,62.5600,1.799992
FILLER_18_3,VPWR,li1,7.5900,62.5600,1.799992
FILLER_17_113,VPWR,li1,57.7300,57.1200,1.799973
FILLER_17_109,VPWR,li1,56.3500,57.1200,1.799973
FILLER_17_106,VPWR,li1,54.9700,57.1200,1.799973
FILLER_17_100,VPWR,li1,52.2100,57.1200,1.799973
FILLER_17_97,VPWR,li1,50.8300,57.1200,1.799973
FILLER_17_94,VPWR,li1,49.4500,57.1200,1.799973
FILLER_17_88,VPWR,li1,46.2300,57.1200,1.799973
FILLER_17_73,VPWR,li1,39.5600,57.1200,1.799975
