net,length_um
_104_,160.09µm
_105_,107.14µm
_100_,102.76µm
net1,102.18µm
_066_,91.61µm
clknet_2_0__leaf_clk,73.86µm
clknet_2_3__leaf_clk,73.64µm
clknet_0_clk,70.3µm
clknet_2_2__leaf_clk,69.28µm
_088_,68.94µm
clknet_2_1__leaf_clk,67.93µm
baud_counter\[11\],60.65µm
net11,59.945µm
clk,58.13µm
baud_counter\[3\],58.06µm
_035_,57.46µm
_048_,46.26µm
_041_,45.68µm
_084_,45.135µm
baud_counter\[0\],43.05µm
_094_,42.16µm
bit_index\[0\],40.5µm
baud_counter\[8\],40.04µm
baud_counter\[10\],37.96µm
_096_,37.74µm
_099_,33.54µm
baud_counter\[7\],31.88µm
_046_,30.32µm
bit_index\[1\],30.06µm
_052_,29.56µm
_031_,29.535µm
baud_counter\[1\],29.34µm
_097_,29.24µm
_093_,29µm
baud_counter\[14\],27.58µm
net10,27.38µm
baud_counter\[5\],26.1µm
bit_index\[2\],25.1µm
baud_counter\[12\],22.78µm
net12,22.16µm
baud_counter\[9\],21.98µm
baud_counter\[6\],20.58µm
baud_counter\[4\],19.86µm
baud_counter\[15\],17.42µm
_024_,17.065µm
_051_,17.06µm
_098_,15.56µm
_083_,15.54µm
tx_data[3],15.08µm
_067_,14.64µm
baud_counter\[13\],13.76µm
net3,13.5µm
tx_data[0],13.24µm
tx_data[1],13.24µm
_106_,13.06µm
baud_counter\[2\],12.82µm
tx_shift\[9\],12.72µm
tx_start,12.57µm
_043_,12.32µm
tx_data[2],12.32µm
_086_,12.285µm
_063_,12.16µm
tx_shift\[8\],12.08µm
_037_,11.42µm
tx_shift\[4\],11.32µm
_089_,10.84µm
_068_,10.66µm
_019_,10.445µm
tx_shift\[6\],10.28µm
_022_,10.02µm
_065_,9.96µm
_090_,9.88µm
tx_shift\[3\],9.56µm
tx_shift\[2\],9.28µm
net2,8.98µm
_081_,8.9µm
_092_,8.9µm
_091_,8.68µm
_057_,8.56µm
_085_,8.515µm
_020_,8.3µm
_087_,8.285µm
_073_,8.28µm
rst,8.21µm
tx_data[5],8.21µm
tx_shift\[5\],8.2µm
_062_,7.96µm
_001_,7.945µm
_075_,7.84µm
_033_,7.56µm
_002_,7.545µm
tx_data[4],7.53µm
tx,7.53µm
_047_,7.43µm
_045_,7.39µm
_023_,7.315µm
tx_data[6],7.19µm
tx_data[7],7.19µm
tx_shift\[7\],7.18µm
_069_,7.1µm
_034_,6.905µm
net5,6.9µm
busy,6.85µm
_102_,6.78µm
_082_,6.74µm
bit_index\[3\],6.72µm
_036_,6.6µm
_042_,6.38µm
_039_,6.26µm
_064_,6.26µm
_101_,6.02µm
_050_,5.985µm
net4,5.92µm
_071_,5.84µm
_016_,5.74µm
_058_,5.68µm
_076_,5.68µm
_040_,5.655µm
_061_,5.6µm
_032_,5.58µm
_077_,5.58µm
_044_,5.56µm
_070_,5.4µm
_010_,5.385µm
_015_,5.135µm
_060_,5.115µm
_012_,5.095µm
_054_,5.04µm
_059_,4.76µm
_080_,4.68µm
_030_,4.505µm
tx_shift\[1\],4.46µm
_027_,4.205µm
_078_,4.12µm
net9,4µm
_003_,3.965µm
_014_,3.925µm
_028_,3.92µm
_095_,3.88µm
_103_,3.88µm
_004_,3.805µm
net8,3.68µm
_029_,3.525µm
_005_,3.515µm
_009_,3.405µm
_026_,3.345µm
_008_,3.32µm
_053_,3.22µm
net6,3.22µm
_013_,3.125µm
_055_,2.98µm
_056_,2.96µm
_011_,2.86µm
_074_,2.84µm
net7,2.76µm
_018_,2.715µm
_017_,2.665µm
_025_,2.665µm
_000_,2.545µm
_049_,2.5µm
_006_,2.485µm
_038_,2.4µm
_079_,2.4µm
_007_,1.915µm
_021_,1.74µm
_072_,0.8µm
