Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_131,VGND,li1,66.4700,70.7200,0.000000
FILLER_22_128,VGND,li1,65.0900,70.7200,0.000000
FILLER_22_125,VGND,li1,63.7100,70.7200,0.000000
FILLER_22_122,VGND,li1,62.3300,70.7200,0.000000
FILLER_22_119,VGND,li1,60.9500,70.7200,0.000000
FILLER_22_116,VGND,li1,59.5700,70.7200,0.000000
FILLER_22_113,VGND,li1,58.1900,70.7200,0.000000
FILLER_22_109,VGND,li1,56.3500,70.7200,0.000000
FILLER_22_106,VGND,li1,54.9700,70.7200,0.000000
FILLER_22_103,VGND,li1,53.5900,70.7200,0.000000
FILLER_22_100,VGND,li1,52.2100,70.7200,0.000000
FILLER_22_97,VGND,li1,50.8300,70.7200,0.000000
FILLER_22_94,VGND,li1,49.4500,70.7200,0.000000
FILLER_22_91,VGND,li1,48.0700,70.7200,0.000000
FILLER_22_88,VGND,li1,46.6900,70.7200,0.000000
FILLER_22_85,VGND,li1,45.3100,70.7200,0.000000
FILLER_22_81,VGND,li1,43.4700,70.7200,0.000000
FILLER_22_78,VGND,li1,42.0900,70.7200,0.000000
FILLER_22_75,VGND,li1,40.7100,70.7200,0.000000
FILLER_22_72,VGND,li1,39.3300,70.7200,0.000000
FILLER_22_69,VGND,li1,37.9500,70.7200,0.000000
FILLER_22_66,VGND,li1,36.5700,70.7200,0.000000
FILLER_22_63,VGND,li1,35.1900,70.7200,0.000000
FILLER_22_60,VGND,li1,33.8100,70.7200,0.000000
FILLER_22_57,VGND,li1,32.4300,70.7200,0.000000
FILLER_22_53,VGND,li1,30.5900,70.7200,0.000000
FILLER_22_50,VGND,li1,29.2100,70.7200,0.000000
FILLER_22_47,VGND,li1,27.8300,70.7200,0.000000
FILLER_22_44,VGND,li1,26.4500,70.7200,0.000000
FILLER_22_41,VGND,li1,25.0700,70.7200,0.000000
FILLER_22_38,VGND,li1,23.6900,70.7200,0.000000
FILLER_22_35,VGND,li1,22.3100,70.7200,0.000000
FILLER_22_32,VGND,li1,20.9300,70.7200,0.000000
FILLER_22_29,VGND,li1,19.5500,70.7200,0.000000
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000000
