Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_131,VPWR,li1,66.4700,73.4400,1.800000
FILLER_22_128,VPWR,li1,65.0900,73.4400,1.800000
FILLER_22_125,VPWR,li1,63.7100,73.4400,1.800000
FILLER_22_122,VPWR,li1,62.3300,73.4400,1.800000
FILLER_22_119,VPWR,li1,60.9500,73.4400,1.800000
FILLER_22_116,VPWR,li1,59.5700,73.4400,1.800000
FILLER_22_113,VPWR,li1,58.1900,73.4400,1.800000
FILLER_22_109,VPWR,li1,56.3500,73.4400,1.800000
FILLER_22_106,VPWR,li1,54.9700,73.4400,1.800000
FILLER_22_103,VPWR,li1,53.5900,73.4400,1.800000
FILLER_22_100,VPWR,li1,52.2100,73.4400,1.800000
FILLER_22_97,VPWR,li1,50.8300,73.4400,1.800000
FILLER_22_94,VPWR,li1,49.4500,73.4400,1.800000
FILLER_22_91,VPWR,li1,48.0700,73.4400,1.800000
FILLER_22_88,VPWR,li1,46.6900,73.4400,1.800000
FILLER_22_85,VPWR,li1,45.3100,73.4400,1.800000
FILLER_22_81,VPWR,li1,43.4700,73.4400,1.800000
FILLER_22_78,VPWR,li1,42.0900,73.4400,1.800000
FILLER_22_75,VPWR,li1,40.7100,73.4400,1.800000
FILLER_22_72,VPWR,li1,39.3300,73.4400,1.800000
FILLER_22_69,VPWR,li1,37.9500,73.4400,1.800000
FILLER_22_66,VPWR,li1,36.5700,73.4400,1.800000
FILLER_22_63,VPWR,li1,35.1900,73.4400,1.800000
FILLER_22_60,VPWR,li1,33.8100,73.4400,1.800000
FILLER_22_57,VPWR,li1,32.4300,73.4400,1.800000
FILLER_22_53,VPWR,li1,30.5900,73.4400,1.800000
FILLER_22_50,VPWR,li1,29.2100,73.4400,1.800000
FILLER_22_47,VPWR,li1,27.8300,73.4400,1.800000
FILLER_22_44,VPWR,li1,26.4500,73.4400,1.800000
FILLER_22_41,VPWR,li1,25.0700,73.4400,1.800000
FILLER_22_38,VPWR,li1,23.6900,73.4400,1.800000
FILLER_22_35,VPWR,li1,22.3100,73.4400,1.800000
FILLER_22_32,VPWR,li1,20.9300,73.4400,1.800000
FILLER_22_29,VPWR,li1,19.5500,73.4400,1.800000
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.800000
FILLER_22_24,VPWR,li1,17.2500,73.4400,1.800000
FILLER_22_21,VPWR,li1,15.8700,73.4400,1.800000
FILLER_22_18,VPWR,li1,14.4900,73.4400,1.800000
FILLER_22_15,VPWR,li1,13.1100,73.4400,1.800000
FILLER_22_12,VPWR,li1,11.7300,73.4400,1.800000
FILLER_22_9,VPWR,li1,10.3500,73.4400,1.800000
FILLER_22_6,VPWR,li1,8.9700,73.4400,1.800000
FILLER_22_3,VPWR,li1,7.5900,73.4400,1.800000
FILLER_21_132,VPWR,li1,66.7000,68.0000,1.799967
FILLER_21_129,VPWR,li1,65.5500,68.0000,1.799967
FILLER_21_126,VPWR,li1,64.1700,68.0000,1.799967
FILLER_21_123,VPWR,li1,62.7900,68.0000,1.799967
FILLER_21_120,VPWR,li1,61.4100,68.0000,1.799967
FILLER_21_116,VPWR,li1,59.1100,68.0000,1.799967
FILLER_21_113,VPWR,li1,58.1900,68.0000,1.799968
FILLER_21_110,VPWR,li1,56.5800,68.0000,1.799968
FILLER_21_107,VPWR,li1,55.4300,68.0000,1.799969
FILLER_21_104,VPWR,li1,54.0500,68.0000,1.799969
FILLER_21_101,VPWR,li1,52.6700,68.0000,1.799969
FILLER_21_98,VPWR,li1,51.2900,68.0000,1.799970
FILLER_21_95,VPWR,li1,49.9100,68.0000,1.799970
FILLER_21_92,VPWR,li1,48.5300,68.0000,1.799971
FILLER_21_89,VPWR,li1,47.1500,68.0000,1.799971
FILLER_21_81,VPWR,li1,43.0100,68.0000,1.799973
FILLER_21_78,VPWR,li1,42.0900,68.0000,1.799974
FILLER_21_75,VPWR,li1,40.7100,68.0000,1.799974
FILLER_21_72,VPWR,li1,39.3300,68.0000,1.799976
FILLER_21_69,VPWR,li1,37.9500,68.0000,1.799976
FILLER_21_66,VPWR,li1,36.5700,68.0000,1.799977
FILLER_21_63,VPWR,li1,35.1900,68.0000,1.799978
FILLER_21_60,VPWR,li1,33.8100,68.0000,1.799978
FILLER_21_57,VPWR,li1,32.4300,68.0000,1.799980
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799980
FILLER_21_46,VPWR,li1,27.1400,68.0000,1.799983
FILLER_21_43,VPWR,li1,25.9900,68.0000,1.799986
FILLER_21_40,VPWR,li1,24.6100,68.0000,1.799986
FILLER_21_37,VPWR,li1,23.2300,68.0000,1.799988
